ADCMAP,3004,2518
ADCMAP,3008,2521
ADCMAP,3012,2524
ADCMAP,3016,2527
ADCMAP,3020,2530
ADCMAP,3024,2534
ADCMAP,3028,2538
ADCMAP,3032,2541
ADCMAP,3036,2543
ADCMAP,3040,2546
ADCMAP,3044,2548
ADCMAP,3048,2552
ADCMAP,3052,2555
ADCMAP,3056,2557
ADCMAP,3060,2560
ADCMAP,3064,2563
ADCMAP,3068,2567
ADCMAP,3072,2569
ADCMAP,3076,2573
ADCMAP,3080,2576
ADCMAP,3084,2580
ADCMAP,3088,2581
ADCMAP,3092,2584
ADCMAP,3096,2587
ADCMAP,3100,2591
ADCMAP,3104,2594
ADCMAP,3108,2596
ADCMAP,3112,2599
ADCMAP,3116,2601
ADCMAP,3120,2605
ADCMAP,3124,2608
ADCMAP,3128,2611
ADCMAP,3132,2613
ADCMAP,3136,2617
ADCMAP,3140,2620
ADCMAP,3144,2622
ADCMAP,3148,2625
ADCMAP,3152,2628
ADCMAP,3156,2631
ADCMAP,3160,2634
ADCMAP,3164,2637
ADCMAP,3168,2639
ADCMAP,3172,2643
ADCMAP,3176,2645
ADCMAP,3180,2648
ADCMAP,3184,2651
ADCMAP,3188,2654
ADCMAP,3192,2658
ADCMAP,3196,2660
ADCMAP,3200,2663
ADCMAP,3204,2665
ADCMAP,3208,2668
ADCMAP,3212,2672
ADCMAP,3216,2674
ADCMAP,3220,2677
ADCMAP,3224,2679
ADCMAP,3228,2683
ADCMAP,3232,2686
ADCMAP,3236,2688
ADCMAP,3240,2691
ADCMAP,3244,2695
ADCMAP,3248,2697
ADCMAP,3252,2700
ADCMAP,3256,2703
ADCMAP,3260,2704
ADCMAP,3264,2709
ADCMAP,3268,2710
ADCMAP,3272,2713
ADCMAP,3276,2716
ADCMAP,3280,2719
ADCMAP,3284,2722
ADCMAP,3288,2724
ADCMAP,3292,2727
ADCMAP,3296,2730
ADCMAP,3300,2734
ADCMAP,3304,2736
ADCMAP,3308,2739
ADCMAP,3312,2741
ADCMAP,3316,2745
ADCMAP,3320,2747
ADCMAP,3324,2750
ADCMAP,3328,2752
ADCMAP,3332,2756
ADCMAP,3336,2758
ADCMAP,3340,2760
ADCMAP,3344,2763
ADCMAP,3348,2766
ADCMAP,3352,2769
ADCMAP,3356,2771
ADCMAP,3360,2774
ADCMAP,3364,2776
ADCMAP,3368,2780
ADCMAP,3372,2782
ADCMAP,3376,2785
ADCMAP,3380,2787
ADCMAP,3384,2790
ADCMAP,3388,2793
ADCMAP,3392,2795
ADCMAP,3396,2798
ADCMAP,3400,2800
ADCMAP,3404,2803
ADCMAP,3408,2805
ADCMAP,3412,2808
ADCMAP,3416,2810
ADCMAP,3420,2813
ADCMAP,3424,2817
ADCMAP,3428,2820
ADCMAP,3432,2821
ADCMAP,3436,2824
ADCMAP,3440,2827
ADCMAP,3444,2830
ADCMAP,3448,2832
ADCMAP,3452,2834
ADCMAP,3456,2837
ADCMAP,3460,2840
ADCMAP,3464,2842
ADCMAP,3468,2844
ADCMAP,3472,2847
ADCMAP,3476,2850
ADCMAP,3480,2853
ADCMAP,3484,2854
ADCMAP,3488,2857
ADCMAP,3492,2859
ADCMAP,3496,2863
ADCMAP,3500,2864
ADCMAP,3504,2867
ADCMAP,3508,2870
ADCMAP,3512,2872
ADCMAP,3516,2875
ADCMAP,3520,2876
ADCMAP,3524,2879
ADCMAP,3528,2881
ADCMAP,3532,2885
ADCMAP,3536,2887
ADCMAP,3540,2890
ADCMAP,3544,2891
ADCMAP,3548,2895
ADCMAP,3552,2897
ADCMAP,3556,2899
ADCMAP,3560,2901
ADCMAP,3564,2904
ADCMAP,3568,2906
ADCMAP,3572,2909
ADCMAP,3576,2912
ADCMAP,3580,2913
ADCMAP,3584,2916
ADCMAP,3588,2918
ADCMAP,3592,2921
ADCMAP,3596,2923
ADCMAP,3600,2925
ADCMAP,3604,2928
ADCMAP,3608,2930
ADCMAP,3612,2933
ADCMAP,3616,2935
ADCMAP,3620,2937
ADCMAP,3624,2940
ADCMAP,3628,2942
ADCMAP,3632,2944
ADCMAP,3636,2946
ADCMAP,3640,2949
ADCMAP,3644,2951
ADCMAP,3648,2953
ADCMAP,3652,2955
ADCMAP,3656,2958
ADCMAP,3660,2960
ADCMAP,3664,2962
ADCMAP,3668,2965
ADCMAP,3672,2966
ADCMAP,3676,2970
ADCMAP,3680,2970
ADCMAP,3684,2973
ADCMAP,3688,2976
ADCMAP,3692,2978
ADCMAP,3696,2981
ADCMAP,3700,2981
ADCMAP,3704,2984
ADCMAP,3708,2986
ADCMAP,3712,2989
ADCMAP,3716,2991
ADCMAP,3720,2993
ADCMAP,3724,2995
ADCMAP,3728,2997
ADCMAP,3732,3000
ADCMAP,3736,3003
ADCMAP,3740,3004
ADCMAP,3744,3007
ADCMAP,3748,3008
ADCMAP,3752,3011
ADCMAP,3756,3012
ADCMAP,3760,3015
ADCMAP,3764,3017
ADCMAP,3768,3019
ADCMAP,3772,3020
ADCMAP,3776,3022
ADCMAP,3780,3025
ADCMAP,3784,3027
ADCMAP,3788,3028
ADCMAP,3792,3031
ADCMAP,3796,3033
ADCMAP,3800,3035
ADCMAP,3804,3036
ADCMAP,3808,3039
ADCMAP,3812,3040
ADCMAP,3816,3044
ADCMAP,3820,3045
ADCMAP,3824,3047
ADCMAP,3828,3048
ADCMAP,3832,3051
ADCMAP,3836,3053
ADCMAP,3840,3056
ADCMAP,3844,3057
ADCMAP,3848,3059
ADCMAP,3852,3061
ADCMAP,3856,3064
ADCMAP,3860,3065
ADCMAP,3864,3066
ADCMAP,3868,3067
ADCMAP,3872,3070
ADCMAP,3876,3072
ADCMAP,3880,3073
ADCMAP,3884,3076
ADCMAP,3888,3077
ADCMAP,3892,3080
ADCMAP,3896,3081
ADCMAP,3900,3084
ADCMAP,3904,3084
ADCMAP,3908,3087
ADCMAP,3912,3089
ADCMAP,3916,3090
ADCMAP,3920,3092
ADCMAP,3924,3095
ADCMAP,3928,3095
ADCMAP,3932,3098
ADCMAP,3936,3099
ADCMAP,3940,3101
ADCMAP,3944,3103
ADCMAP,3948,3104
ADCMAP,3952,3106
ADCMAP,3956,3107
ADCMAP,3960,3111
